filament winder BOM,,,,
item name,quantity ,price per item ,price,link
aluminium v channel,6,322.14,1932.84,https://robokits.co.in/robot-parts/aluminium-profile-accessories/black-anodized-aluminium-2020-v-slot-profile-1meter
assembled gantry plate,2,"1,284",2568,https://www.amazon.in/ATORSE-Gantry-Printer-Machine-wheels/dp/B0FY6LMP6S
tnut,53,7.8,413.4,https://robokits.co.in/robot-parts/aluminium-profile-accessories/t-type-nut-m4-for-2020-aluminium-profile-moq-10pcs
m4,60,2.17,130.2,https://omrook.com/button-allen-m4-x-16mm-dia-4mm-length-16mm-allen-socket-button-screws/
M3,30,3.26,97.8,https://omrook.com/button-allen-m3-x-10mm-dia-3mm-length-10mm-allen-socket-button-screws/
Ball bearing (3mm ID),20,35.4,708,https://omrook.com/683zz-ball-bearing-3x7x3-mm/
angle brackte,30,22,660,https://robocraze.com/products/aluminium-profile-angle-bracket-l-joint-corner?variant=43139286434016&country=IN&currency=INR
timing belt pulley,7,29,203,https://robocraze.com/products/gt2-6mm-belt-width-20-teeth-5mm-bore-timing-pulley?_pos=1&_sid=6fa5d4611&_ss=r
timing belt ,3,83,249,https://robocraze.com/products/1-meter-x-gt2-open-timing-belt-6mm-width-pitch-2mm-for-3d-printer?_pos=4&_sid=fa808de41&_ss=r
stepper motor,2,553.42,1106.84,https://robokits.co.in/motors/stepper-motor/stepper-motor-without-gearbox/nema17-high-torque-stepper-motor?number_of_uploads=0
stepper motor drier,3,236,708,https://robu.in/product/tmc2208-stepper-motor-driver-module/
 pico w,1,649,649,https://robu.in/product/raspberry-pi-pico-w/
,,,,
,,,,
,,,,

,total,,9426.08,

